user_id,wallet,bank,fines,coins,diamonds,paypal,t1,t2,t3,t4
1155,5000,10000,0,0,0,0,0,0,0,0
1156,0,1331386,0,0,0,0,1,0,3,0
1157,5000,10000,0,0,0,0,0,0,0,0
1158,0,180565,0,0,0,0,1,0,0,0
1159,0,4690,0,0,0,0,0,0,0,0
1160,5000,10000,0,0,0,0,0,0,0,0
1161,0,6500,0,0,0,0,0,0,0,0
1162,0,70775,0,0,0,0,0,0,0,0
1163,0,234616,0,0,0,0,0,0,0,0
1164,5000,10000,0,0,0,0,0,0,0,0
1165,0,14700,0,0,0,0,0,0,0,0
1166,5000,10000,0,0,0,0,0,0,0,0
1167,0,1400,0,0,0,0,0,0,0,0
1168,0,4500,0,0,0,0,0,0,0,0
1169,0,47100,0,0,0,0,0,0,0,0
1170,0,1190400,0,0,0,0,0,0,0,0
1171,0,8300,0,0,0,0,0,0,0,0
1172,0,136190,0,0,0,0,0,0,0,0
1173,0,0,0,0,0,0,0,0,0,0
1174,1000,35550,0,0,0,0,0,0,0,0
1175,5000,10000,0,0,0,0,0,0,0,0
1176,5000,10000,0,0,0,0,0,0,0,0
1177,0,60200,0,0,0,0,0,0,0,0
1178,5000,10000,0,0,0,0,0,0,0,0
1179,1000,31500,0,0,0,240000,0,0,0,0
1180,400,40000,0,0,0,0,0,0,0,0
1181,0,600,0,0,0,0,0,0,0,0
1182,0,6200,0,0,0,0,0,0,0,0
1183,0,1533760,0,0,0,0,1,0,0,0
1184,0,632966,0,0,0,0,1,0,0,0
1186,0,290500,0,0,0,0,0,0,0,0
1187,5000,10000,0,0,0,0,0,0,0,0
1188,5000,10000,0,0,0,0,0,0,0,0
1189,5000,10000,0,0,0,0,0,0,0,0
1190,0,61310,0,0,0,0,0,0,0,0
1191,0,72595,0,0,0,0,0,0,0,0
1192,5000,10000,0,0,0,0,0,0,0,0
1193,0,16520,0,0,0,0,0,0,0,0
1194,3400,10000,0,0,0,0,0,0,0,0
1195,0,1040239,0,0,0,0,0,0,0,0
1196,0,212022,0,0,0,0,0,0,0,0
1197,3700,3396000,0,0,0,0,0,0,0,0
1198,0,66744,0,0,0,0,0,0,0,0
1199,5000,10000,0,0,0,0,0,0,0,0
1200,5000,0,0,0,0,150000,0,0,0,0
1201,0,3500,0,0,0,0,1,0,0,0
1202,0,30000,0,0,0,0,0,0,0,0
1203,0,45030,0,0,0,0,0,0,0,0
1204,3000,59000,0,0,0,0,0,0,0,0
1205,0,1600,0,0,0,0,0,0,0,0
1206,0,559185,0,0,0,0,0,0,0,0
1207,0,37070,0,0,0,0,0,0,0,0
1208,0,1315966,0,0,0,0,0,1,0,0
1209,5000,10000,0,0,0,0,0,0,0,0
1210,5000,10000,0,0,0,0,0,0,0,0
1211,0,54200,0,0,0,0,0,0,0,0
1212,0,258925,0,0,0,0,0,0,0,0
1213,0,383545,0,0,0,0,0,0,0,0
1214,0,0,0,0,0,3672562,0,0,2,0
1215,0,410574,0,0,0,0,0,0,0,0
1216,0,4500,0,0,0,0,0,0,0,0
1217,900,4006935,0,0,0,0,0,0,0,0
1218,0,414685,0,0,0,38846518,1,0,0,4
1219,0,55210,0,0,0,0,0,0,0,0
1220,0,756181,0,0,0,0,0,0,0,0
1221,2300,10000,0,0,0,0,0,0,0,0
1222,0,583398,0,0,0,0,0,0,0,0
1223,4200,9990,0,0,0,0,0,0,0,0
